,palette_number,page_number,likes,date_posted,block1,block2,block3,block4,block5,block6
407,22864,20,4,3 weeks ago,prismarine_bricks,diorite,prismarine,orange_glazed_terracotta,light_gray_glazed_terracotta,shroomlight
408,22863,20,6,3 weeks ago,spruce_log,spruce_planks,green_terracotta,cobbled_deepslate,gray_stained_glass,moss_block
409,22862,20,8,3 weeks ago,stripped_oak_log,oak_planks,amethyst_block,birch_planks,light_blue_terracotta,blue_terracotta
410,22861,20,7,4 weeks ago,amethyst_block,deepslate_tiles,quartz_pillar,purpur_pillar,cobbled_deepslate,quartz_block
411,22860,20,10,4 weeks ago,yellow_concrete,light_blue_concrete,gray_stained_glass,gray_glazed_terracotta,white_glazed_terracotta,basalt
412,22859,20,6,4 weeks ago,spruce_log,amethyst_block,cobbled_deepslate,dark_oak_planks,quartz_block,black_stained_glass
413,22858,20,3,4 weeks ago,dark_oak_planks,blackstone,redstone_lamp,spruce_log,deepslate_tiles,purple_stained_glass
414,22857,20,0,4 weeks ago,sandstone,spruce_planks,chiseled_sandstone,deepslate_bricks,glass,spruce_log
415,22856,20,1,4 weeks ago,polished_deepslate,amethyst_block,blue_concrete,spruce_planks,stripped_spruce_log,oak_planks
416,22855,20,1,4 weeks ago,dark_oak_planks,bookshelf,spruce_planks,purple_terracotta,red_glazed_terracotta,dark_oak_log
417,22854,20,33,4 weeks ago,brown_mushroom_block,mushroom_stem,stripped_dark_oak_log,moss_block,dark_oak_planks,gray_stained_glass
418,22853,20,3,4 weeks ago,amethyst_block,spruce_planks,blue_terracotta,spruce_log,blackstone,black_terracotta
419,22852,20,3,4 weeks ago,tuff,stone_bricks,stripped_spruce_log,smooth_stone,spruce_planks,oxidized_cut_copper
420,22851,21,10,4 weeks ago,azalea_leaves,barrel,deepslate,bricks,stripped_spruce_log,cobbled_deepslate
421,22850,21,2,4 weeks ago,dark_oak_log,amethyst_block,bricks,stripped_oak_log,stripped_dark_oak_log,spruce_leaves
422,22849,21,1,4 weeks ago,black_glazed_terracotta,blackstone,red_terracotta,acacia_planks,cracked_deepslate_bricks,white_glazed_terracotta
423,22848,21,0,4 weeks ago,blue_wool,acacia_log,white_concrete,acacia_planks,andesite,cyan_wool
424,22847,21,3,4 weeks ago,red_terracotta,cut_copper,stripped_spruce_log,oak_planks,cobblestone,spruce_planks
425,22846,21,2,4 weeks ago,white_stained_glass,bubble_coral_block,dark_oak_log,magenta_concrete_powder,deepslate_bricks,amethyst_block
426,22845,21,5,4 weeks ago,stripped_birch_log,dark_oak_planks,deepslate_tiles,deepslate_bricks,oxidized_copper,black_concrete_powder
427,22844,21,30,4 weeks ago,mushroom_stem,quartz_block,dark_oak_planks,bone_block,spruce_log,mossy_cobblestone
428,22843,21,8,4 weeks ago,yellow_concrete,spruce_log,spruce_planks,spruce_leaves,stripped_spruce_log,smooth_stone
429,22842,21,3,4 weeks ago,cut_copper,stripped_birch_log,oxidized_cut_copper,dark_oak_planks,moss_block,amethyst_block
430,22841,21,10,4 weeks ago,stripped_birch_log,birch_log,calcite,moss_block,mossy_stone_bricks,stone_bricks
431,22840,21,16,4 weeks ago,red_mushroom_block,red_concrete,dark_oak_planks,red_wool,spruce_log,mossy_cobblestone
432,22839,21,9,4 weeks ago,dripstone_block,spruce_planks,basalt,soul_soil,smooth_basalt,spruce_log
433,22838,21,4,4 weeks ago,mushroom_stem,stripped_birch_log,dark_prismarine,bone_block,birch_planks,dark_oak_planks
434,22837,21,1,4 weeks ago,birch_planks,cyan_stained_glass,gray_stained_glass,stripped_birch_log,amethyst_block,moss_block
435,22836,21,4,4 weeks ago,prismarine_bricks,exposed_copper,cyan_concrete,weathered_copper,warped_planks,stripped_warped_stem
436,22835,21,4,4 weeks ago,orange_concrete,shroomlight,orange_glazed_terracotta,orange_terracotta,acacia_planks,stripped_acacia_log
437,22834,21,56,4 weeks ago,acacia_log,deepslate_tiles,polished_basalt,quartz_bricks,bone_block,light_gray_concrete
438,22833,21,8,4 weeks ago,prismarine,sea_lantern,diamond_ore,quartz_pillar,quartz_block,quartz_bricks
439,22832,21,5,4 weeks ago,birch_log,bricks,birch_planks,granite,smooth_stone,diorite
440,22831,21,3,4 weeks ago,basalt,oxidized_copper,sea_lantern,oak_planks,stripped_birch_log,smooth_sandstone
441,22830,22,2,4 weeks ago,shroomlight,quartz_bricks,warped_planks,cyan_concrete,moss_block,orange_concrete
442,22829,22,0,4 weeks ago,acacia_planks,prismarine_bricks,acacia_log,sea_lantern,deepslate_tiles,birch_planks
443,22828,22,2,4 weeks ago,spruce_planks,dark_oak_log,spruce_log,birch_planks,amethyst_block,stripped_birch_log
