,palette_number,page_number,likes,date_posted,block1,block2,block3,block4,block5,block6
584,22687,28,2,1 month ago,white_terracotta,stripped_birch_log,white_wool,spruce_log,bricks,mossy_cobblestone
585,22686,28,5,1 month ago,spruce_log,crimson_planks,magenta_terracotta,pink_concrete,flowering_azalea_leaves,quartz_bricks
586,22685,28,2,1 month ago,purpur_pillar,pink_wool,prismarine,ice,stripped_birch_log,mushroom_stem
587,22684,28,4,1 month ago,stone_bricks,dark_oak_planks,warped_stem,brown_terracotta,polished_blackstone_bricks,blue_terracotta
588,22683,29,3,1 month ago,mossy_cobblestone,stripped_crimson_stem,flowering_azalea_leaves,white_wool,birch_planks,red_mushroom_block
589,22682,29,5,1 month ago,brown_terracotta,stripped_dark_oak_log,cobbled_deepslate,mossy_cobblestone,green_terracotta,moss_block
590,22681,29,3,1 month ago,spruce_planks,bricks,red_terracotta,hay_block,mossy_cobblestone,white_concrete
591,22680,29,2,1 month ago,spruce_planks,yellow_terracotta,yellow_concrete,honeycomb_block,stripped_birch_log,white_stained_glass
592,22679,29,3,1 month ago,light_blue_wool,diamond_block,light_blue_shulker_box,white_glazed_terracotta,honey_block,honeycomb_block
593,22678,29,2,1 month ago,red_mushroom_block,redstone_block,crimson_nylium_side,red_glazed_terracotta,red_concrete_powder,red_shulker_box
594,22677,29,3,1 month ago,green_wool,mossy_cobblestone,cobblestone,moss_block,azalea_leaves,stone
595,22676,29,1,1 month ago,quartz_block,magenta_terracotta,stone,acacia_log,white_concrete,dark_oak_planks
596,22675,29,1,1 month ago,stone_bricks,white_wool,bricks,spruce_log,flowering_azalea_leaves,birch_log
597,22674,29,4,1 month ago,oak_log,white_wool,spruce_planks,mossy_stone_bricks,flowering_azalea_leaves,crimson_planks
598,22673,29,3,1 month ago,stripped_birch_log,birch_planks,yellow_concrete,mossy_cobblestone,flowering_azalea_leaves,dark_oak_planks
599,22672,29,3,1 month ago,stone_bricks,azalea_leaves,bricks,spruce_log,white_wool,birch_log
600,22671,29,1,1 month ago,red_nether_bricks,crimson_stem,crimson_planks,orange_concrete,yellow_concrete,shroomlight
601,22670,29,5,1 month ago,cobbled_deepslate,tuff,cobblestone,spruce_planks,barrel,oxidized_copper
602,22669,29,1,1 month ago,stripped_spruce_log,dark_oak_planks,smooth_sandstone,oxidized_copper,stone_bricks,spruce_planks
603,22668,29,5,1 month ago,flowering_azalea_leaves,barrel,green_concrete,bone_block,moss_block,brown_stained_glass
604,22667,29,2,1 month ago,quartz_block,chiseled_quartz_block,quartz_pillar,sea_lantern,light_blue_concrete,blue_glazed_terracotta
605,22666,29,0,1 month ago,birch_log,granite,stripped_birch_log,jungle_planks,oxidized_copper,smooth_sandstone
606,22665,29,3,1 month ago,diorite,amethyst_block,tuff,calcite,birch_planks,purple_stained_glass
607,22664,29,1,1 month ago,sandstone,polished_granite,dripstone_block,stripped_jungle_log,quartz_pillar,bricks
608,22663,29,2,1 month ago,acacia_planks,terracotta,stripped_acacia_log,acacia_log,quartz_bricks,white_stained_glass
609,22662,30,2,1 month ago,stripped_spruce_log,stone_bricks,smooth_sandstone,cobblestone,acacia_planks,stripped_acacia_log
610,22661,30,7,1 month ago,gold_block,quartz_bricks,black_stained_glass,quartz_pillar,gilded_blackstone,chiseled_quartz_block
611,22660,30,2,1 month ago,stripped_birch_log,white_terracotta,stripped_dark_oak_log,stone,deepslate_bricks,spruce_planks
612,22659,30,8,1 month ago,amethyst_block,purpur_block,purple_stained_glass,calcite,stone_bricks,birch_log
613,22658,30,2,1 month ago,bricks,spruce_planks,cobblestone,polished_granite,oak_log,brown_mushroom_block
614,22657,30,3,1 month ago,acacia_log,yellow_terracotta,acacia_planks,red_terracotta,stripped_acacia_log,cobblestone
615,22656,30,3,1 month ago,dark_prismarine,dark_oak_planks,warped_planks,light_gray_wool,cyan_terracotta,gray_wool
616,22655,30,2,1 month ago,spruce_planks,mossy_stone_bricks,stone,purple_stained_glass,calcite,stripped_dark_oak_log
617,22654,30,3,1 month ago,spruce_log,spruce_planks,gilded_blackstone,deepslate_tiles,tuff,stripped_spruce_log
618,22653,30,4,1 month ago,deepslate_tiles,deepslate_bricks,dark_oak_log,blue_terracotta,blue_stained_glass,dark_oak_planks
619,22652,30,1,1 month ago,spruce_log,white_terracotta,birch_planks,oak_planks,stone_bricks,redstone_lamp
620,22651,30,4,1 month ago,polished_blackstone,prismarine_bricks,sea_lantern,quartz_block,dark_prismarine,polished_blackstone_bricks
621,22650,30,2,1 month ago,pink_stained_glass,birch_log,pink_concrete,birch_planks,brain_coral_block,stripped_crimson_stem
622,22649,30,0,1 month ago,oak_leaves,brown_wool,oak_log,dark_oak_log,stripped_oak_log,mossy_cobblestone
623,22648,30,2,1 month ago,azalea_leaves,flowering_azalea_leaves,birch_planks,oxidized_cut_copper,deepslate_tiles,stripped_spruce_log
624,22647,30,5,1 month ago,oxidized_copper,oxidized_cut_copper,spruce_planks,deepslate_tiles,deepslate_bricks,stripped_spruce_log
625,22646,30,0,1 month ago,purple_wool,amethyst_block,glowstone,black_wool,dark_oak_log,black_terracotta
626,22645,30,0,1 month ago,honeycomb_block,spruce_planks,oak_planks,crimson_planks,stripped_birch_log,blue_ice
627,22644,30,1,1 month ago,oxidized_cut_copper,spruce_log,quartz_pillar,crying_obsidian,black_stained_glass,polished_blackstone_bricks
628,22643,30,4,1 month ago,calcite,stone_bricks,warped_planks,bone_block,deepslate_bricks,dark_oak_planks
629,22642,30,8,1 month ago,tuff,green_terracotta,dark_oak_planks,deepslate_tiles,spruce_log,moss_block
